ts_minute,average_price
2024-12-03 04:18:00,608.9966666666667
2024-12-03 04:31:00,608.99
2024-12-03 05:07:00,608.52
2024-12-03 05:30:00,608.31
2024-12-03 06:42:00,608.51
2024-12-03 06:52:00,608.51
2024-12-03 06:55:00,608.51
2024-12-03 07:00:00,608.28
2024-12-03 07:06:00,609.0407142857143
2024-12-03 07:15:00,609.698
2024-12-03 07:19:00,609.51
2024-12-03 07:26:00,609.22
2024-12-03 07:27:00,609.585
2024-12-03 07:40:00,609.22
2024-12-03 07:44:00,608.93
2024-12-03 07:56:00,609.47
2024-12-03 08:00:00,608.9231739130435
2024-12-03 08:02:00,608.52
2024-12-03 08:05:00,608.52
2024-12-03 08:16:00,609.21
2024-12-03 08:18:00,608.52
2024-12-03 08:19:00,608.52
2024-12-03 08:20:00,608.52
2024-12-03 08:21:00,608.52
2024-12-03 08:26:00,609.4
2024-12-03 08:33:00,609.59
2024-12-03 08:38:00,609.4
2024-12-03 08:39:00,609.4
2024-12-03 08:41:00,609.4
2024-12-03 08:43:00,609.59
2024-12-03 08:48:00,609.18
2024-12-03 08:50:00,609.6
2024-12-03 08:53:00,609.447
2024-12-03 08:54:00,609.6
2024-12-03 08:55:00,609.6
2024-12-03 08:57:00,609.128125
2024-12-03 08:59:00,608.954
2024-12-03 09:01:00,608.95
2024-12-03 09:02:00,608.85
2024-12-03 09:05:00,608.965
2024-12-03 09:07:00,608.99188
2024-12-03 09:08:00,608.94
2024-12-03 09:16:00,609.4988
2024-12-03 09:18:00,608.85
2024-12-03 09:19:00,607.8841666666667
2024-12-03 09:20:00,608.2033333333334
2024-12-03 09:26:00,608.01
2024-12-03 09:29:00,609.9346428571429
2024-12-03 09:30:00,613.0787449397591
2024-12-03 09:31:00,611.8264583596215
2024-12-03 09:32:00,610.5857175227272
2024-12-03 09:33:00,610.1264570852272
2024-12-03 09:34:00,609.7910711052632
2024-12-03 09:35:00,608.4259367314814
2024-12-03 09:36:00,607.2662392620088
2024-12-03 09:37:00,606.9383387164179
2024-12-03 09:38:00,607.016189456
2024-12-03 09:39:00,606.6992236024845
2024-12-03 09:40:00,606.2262588310344
2024-12-03 09:41:00,605.9040648080808
2024-12-03 09:42:00,605.8600532095809
2024-12-03 09:43:00,605.9153163333333
2024-12-03 09:44:00,605.346989
2024-12-03 09:45:00,605.4281056857143
2024-12-03 09:46:00,605.7087148310811
2024-12-03 09:47:00,606.4595706235955
2024-12-03 09:48:00,606.1623305565217
2024-12-03 09:49:00,605.7509436507936
2024-12-03 09:50:00,605.6196484160583
2024-12-03 09:51:00,605.8849198911564
2024-12-03 09:52:00,606.1609733112583
2024-12-03 09:53:00,606.5649097727272
2024-12-03 09:54:00,606.4300655851064
2024-12-03 09:55:00,606.671218958042
2024-12-03 09:56:00,607.8130031633987
2024-12-03 09:57:00,609.24583875969
2024-12-03 09:58:00,609.2033221458333
2024-12-03 09:59:00,608.7417573952703
2024-12-03 10:00:00,608.1762437346939
2024-12-03 10:01:00,608.2176646511627
2024-12-03 10:02:00,608.3434611404958
2024-12-03 10:03:00,608.3968102692307
2024-12-03 10:04:00,608.5240365967742
2024-12-03 10:05:00,607.6501431954887
2024-12-03 10:06:00,608.1444287032258
2024-12-03 10:07:00,608.7939062115385
2024-12-03 10:08:00,608.7918501203703
2024-12-03 10:09:00,608.8964973314917
2024-12-03 10:10:00,609.0677402061856
2024-12-03 10:11:00,608.8784209181287
2024-12-03 10:12:00,609.1493833333334
2024-12-03 10:13:00,609.6108074076433
2024-12-03 10:14:00,609.5150806521739
2024-12-03 10:15:00,609.6602212857143
2024-12-03 10:16:00,609.4720894514768
2024-12-03 10:17:00,609.2755138258929
2024-12-03 10:18:00,609.6589011923077
2024-12-03 10:19:00,609.4333343469388
2024-12-03 10:20:00,609.4440640625
2024-12-03 10:21:00,609.4827994166667
2024-12-03 10:22:00,609.0841931818181
2024-12-03 10:23:00,608.8775135063291
2024-12-03 10:24:00,608.8046392093023
2024-12-03 10:25:00,608.7836779130434
2024-12-03 10:26:00,609.2989533820755
2024-12-03 10:27:00,609.6559590361446
2024-12-03 10:28:00,609.5939523523132
2024-12-03 10:29:00,609.7128759090909
2024-12-03 10:30:00,609.8692474354839
2024-12-03 10:31:00,609.5868970994475
2024-12-03 10:32:00,609.2123778571429
2024-12-03 10:33:00,609.1966228571429
